IC,Method,MSE,RMSE,R2
"[-2.367837594728107, -0.167049432606533, 0.6853979675127337]",PINN,3.806355016422458e-05,0.0061695664486432576,0.9981674551963806
"[-2.367837594728107, -0.167049432606533, 0.6853979675127337]",Hybrid,0.00015756663924548775,0.012552555088327148,0.9932616353034973
"[-2.367837594728107, -0.167049432606533, 0.6853979675127337]",RC(ESN),4.3720937778100945e-06,0.0020909552309435263,0.99981221465344
"[0.02350010848492948, 0.4562012794911179, 0.2704927820664171]",RNN,3.621958239818923e-05,0.00601827071493043,0.9974921345710754
"[0.02350010848492948, 0.4562012794911179, 0.2704927820664171]",Transfer,9.910232620313764e-05,0.009955015128222439,0.994769811630249
"[0.02350010848492948, 0.4562012794911179, 0.2704927820664171]",MAML,0.0020615130197256804,0.04540388771598397,0.8934710025787354
"[0.02350010848492948, 0.4562012794911179, 0.2704927820664171]",PINN,4.866790914093144e-05,0.006976238896492253,0.997183620929718
"[0.02350010848492948, 0.4562012794911179, 0.2704927820664171]",Hybrid,9.389087063027546e-05,0.009689730162923809,0.9947299957275391
"[0.02350010848492948, 0.4562012794911179, 0.2704927820664171]",RC(ESN),1.065151205559974e-06,0.0010320616287605958,0.9999406515707415
"[-1.4350081438664337, 0.8828171461847689, -0.5800816639402705]",RNN,4.6886736527085304e-05,0.0068473890299212085,0.9980865120887756
"[-1.4350081438664337, 0.8828171461847689, -0.5800816639402705]",Transfer,0.0002741212083492428,0.016556606184518697,0.9901431202888489
"[-1.4350081438664337, 0.8828171461847689, -0.5800816639402705]",MAML,0.008315113373100758,0.09118724347791612,0.6521490216255188
"[-1.4350081438664337, 0.8828171461847689, -0.5800816639402705]",PINN,0.00010774378461064771,0.010379970356925288,0.995372474193573
"[-1.4350081438664337, 0.8828171461847689, -0.5800816639402705]",Hybrid,0.00028473036945797503,0.01687395535901334,0.9893314838409424
"[-1.4350081438664337, 0.8828171461847689, -0.5800816639402705]",RC(ESN),1.9474259727660833e-05,0.004412964958807268,0.9991072194069868
